Nama Customer,NIK,Email, Tanggal Lahir, Kategori Tiket
Karina,3675278162830003,karinakeceh@gmail.com,19 Januari 1999, Diamond
Sehun,3572815263510003,sehunganteng@gmail.com,15 Agustus 1995, Gold
Yuri,3678286416380003,yuricans@gmail.com,29 Juni 1996, Ruby
Althair,3578277529130003,althairimot@gmail.com,24 Febuari 1997, Silver
Arumi,3687524571820003,arumicanti@gmail.com,11 Maret 1992, Diamond
Chanyeol,3674829251820003,chanchangemoy@gmail.com,18 Juli 1998, Gold
Tiffany,3578462835170003,tiffanygaulaja@gmail.com,19 September 1999, Ruby
Selena,3548593421810003,ceceuhuyy@gmail.com,20 Maret 2000, Silver
Alea,3527182637210003,aleaanjai@gmail.com,15 Oktober 2001, Ruby
Taylor,3568291830210003,imtaylor@gmail.com,17 Juni 1990, Diamond
Jascon,3657825147190003,hellojas@gmail.com,12 Desember 2000, Silver
